start_sec,end_sec,transfer_bytes,transfer_units,bitrate_bps,bitrate_units,jitter_ms,lost_packets,total_packets,loss_percent
0.0,1.0,1195376.64,MBytes,9580000.0,Mbits/sec,0.006,0,827,0
1.0,2.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.016,0,863,0
2.0,3.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.014,0,863,0
3.0,4.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.014,0,863,0
4.0,5.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.014,0,864,0
5.0,6.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.011,0,863,0
6.0,7.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.014,0,863,0
7.0,8.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.009,0,864,0
8.0,9.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.006,0,863,0
9.0,10.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.003,0,863,0
10.0,11.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.007,0,863,0
11.0,12.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.002,0,864,0
12.0,13.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.017,0,863,0
13.0,14.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.014,0,863,0
14.0,15.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.009,0,863,0
15.0,16.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.01,0,864,0
16.0,17.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.018,0,863,0
17.0,18.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.01,0,863,0
18.0,19.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.008,0,863,0
19.0,20.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.016,0,864,0
20.0,21.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.018,0,863,0
21.0,22.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.01,0,863,0
22.0,22.95,1184890.88,MBytes,9980000.0,Mbits/sec,0.016,0,819,0
0.0,22.95,28626124.8,MBytes,9980000.0,Mbits/sec,0.016,0,19774,0
0.0,1.0,1195376.64,MBytes,9580000.0,Mbits/sec,0.018,0,827,0
1.0,2.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.012,0,863,0
2.0,3.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.013,0,863,0
3.0,4.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.006,0,863,0
4.0,5.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.009,0,864,0
5.0,6.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.01,0,863,0
6.0,7.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.01,0,863,0
7.0,8.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.01,0,864,0
8.0,9.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.019,0,863,0
9.0,10.0,1247805.44,MBytes,10000000.0,Mbits/sec,0.011,0,863,0
10.0,10.97,1205862.4,MBytes,10000000.0,Mbits/sec,0.01,0,834,0
0.0,10.97,13631488.0,MBytes,9960000.0,Mbits/sec,0.01,0,9430,0
