start_sec,end_sec,transfer_bytes,transfer_units,bitrate_bps,bitrate_units,jitter_ms,lost_packets,total_packets,loss_percent
0.0,1.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
1.0,2.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
2.0,3.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
3.0,4.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,864,
4.0,5.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
5.0,6.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
6.0,7.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,864,
7.0,8.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
8.0,9.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
9.0,10.0,1247805.44,MBytes,10000000.0,Mbits/sec,,,863,
10.0,10.91,1142947.84,MBytes,10000000.0,Mbits/sec,,,789,
0.0,10.91,13631488.0,MBytes,10000000.0,Mbits/sec,,,0,
0.0,10.91,0.0,KBytes,0.0,Kbits/sec,,,0,
