icmp_seq,ttl,rtt_ms
1,64,0.353
2,64,0.062
3,64,0.067
4,64,0.069
5,64,0.059
6,64,0.059
7,64,0.079
8,64,0.06
9,64,0.085
10,64,0.078
11,64,0.055
12,64,0.049
13,64,0.043
14,64,0.081
15,64,0.083
16,64,0.076
17,64,0.08
18,64,0.078
19,64,0.079
20,64,0.08
21,64,0.078
22,64,0.067
23,64,0.064
24,64,0.08
25,64,0.077
26,64,0.079
27,64,0.08
28,64,0.074
29,64,0.08
30,64,0.067
31,64,0.099
32,64,0.074
33,64,0.076
34,64,0.078
35,64,0.079
36,64,0.092
37,64,0.079
38,64,0.086
39,64,0.085
40,64,0.072
41,64,0.07
42,64,0.078
43,64,0.096
44,64,0.076
45,64,0.083
46,64,0.078
47,64,0.077
48,64,0.077
49,64,0.075
50,64,0.073
51,64,0.067
52,64,0.065
53,64,0.079
54,64,0.077
55,64,0.087
56,64,0.078
57,64,0.082
58,64,0.074
59,64,0.084
60,64,0.071
61,64,0.07
62,64,0.08
63,64,0.086
64,64,0.087
65,64,0.055
66,64,0.075
67,64,0.077
68,64,0.069
69,64,0.072
70,64,0.068
71,64,0.063
72,64,0.079
73,64,0.082
74,64,0.078
75,64,0.073
76,64,0.078
77,64,0.079
78,64,0.073
79,64,0.065
80,64,0.067
81,64,0.079
82,64,0.082
83,64,0.077
84,64,0.085
85,64,0.08
86,64,0.081
87,64,0.079
88,64,0.068
89,64,0.092
90,64,0.084
91,64,0.079
92,64,0.08
93,64,0.083
94,64,0.092
95,64,0.089
96,64,0.076
97,64,0.072
98,64,0.067
99,64,0.064
100,64,0.08
101,64,0.058
102,64,0.077
103,64,0.066
104,64,0.08
105,64,0.059
106,64,0.083
