icmp_seq,ttl,rtt_ms
1,64,0.799
2,64,0.049
3,64,0.076
4,64,0.094
5,64,0.068
6,64,0.059
7,64,0.062
8,64,0.077
9,64,0.059
10,64,0.068
11,64,0.053
12,64,0.056
13,64,0.046
14,64,0.072
15,64,0.073
16,64,0.083
17,64,0.078
18,64,0.059
19,64,0.078
20,64,0.061
21,64,0.079
22,64,0.078
23,64,0.078
24,64,0.078
25,64,0.082
26,64,0.075
27,64,0.084
28,64,0.083
29,64,0.076
30,64,0.083
31,64,0.073
32,64,0.076
33,64,0.071
34,64,0.084
35,64,0.069
36,64,0.081
37,64,0.065
38,64,0.076
39,64,0.08
40,64,0.067
41,64,0.076
42,64,0.062
43,64,0.063
44,64,0.075
45,64,0.064
46,64,0.067
47,64,0.079
48,64,0.076
49,64,0.064
50,64,0.082
51,64,0.073
52,64,0.066
53,64,0.077
54,64,0.078
55,64,0.08
56,64,0.087
57,64,0.084
58,64,0.083
59,64,0.071
60,64,0.073
61,64,0.064
62,64,0.061
63,64,0.06
64,64,0.072
65,64,0.088
66,64,0.076
67,64,0.091
68,64,0.062
69,64,0.084
70,64,0.079
71,64,0.052
72,64,0.083
73,64,0.061
74,64,0.066
75,64,0.083
76,64,0.083
77,64,0.083
78,64,0.081
79,64,0.063
80,64,0.086
81,64,0.05
82,64,0.08
83,64,0.089
84,64,0.059
85,64,0.085
86,64,0.057
87,64,0.078
88,64,0.091
89,64,0.087
90,64,0.065
91,64,0.06
92,64,0.056
93,64,0.057
94,64,0.083
95,64,0.082
96,64,0.074
97,64,0.083
98,64,0.109
99,64,0.084
100,64,0.079
101,64,0.082
102,64,0.082
103,64,0.079
104,64,0.085
105,64,0.088
106,64,0.08
