point_count,time,bandwidth,bandwidth_average,bandwidth_variance,npackets,npackets_average,npackets_variance,nflows,nflows_average,nflows_variance
1,0.05,3326560.0,7251770.4,32137084811475.836,186,248.34,7823.6044,103,3351,646.4098999999999
2,0.15000000000000002,4880560.0,7251770.4,32137084811475.836,224,248.34,7823.6044,93,3351,646.4098999999999
3,0.25,9220160.0,7251770.4,32137084811475.836,263,248.34,7823.6044,108,3351,646.4098999999999
4,0.35000000000000003,5024400.0,7251770.4,32137084811475.836,288,248.34,7823.6044,128,3351,646.4098999999999
5,0.45,5187840.0,7251770.4,32137084811475.836,397,248.34,7823.6044,185,3351,646.4098999999999
6,0.55,5499600.0,7251770.4,32137084811475.836,249,248.34,7823.6044,148,3351,646.4098999999999
7,0.6500000000000001,17911040.0,7251770.4,32137084811475.836,458,248.34,7823.6044,150,3351,646.4098999999999
8,0.7500000000000001,10471120.0,7251770.4,32137084811475.836,241,248.34,7823.6044,110,3351,646.4098999999999
9,0.8500000000000001,6333680.0,7251770.4,32137084811475.836,288,248.34,7823.6044,134,3351,646.4098999999999
10,0.9500000000000001,6953280.0,7251770.4,32137084811475.836,221,248.34,7823.6044,99,3351,646.4098999999999
11,1.05,4711680.0,7251770.4,32137084811475.836,227,248.34,7823.6044,149,3351,646.4098999999999
12,1.1500000000000001,4500880.0,7251770.4,32137084811475.836,301,248.34,7823.6044,163,3351,646.4098999999999
13,1.2500000000000002,5377200.0,7251770.4,32137084811475.836,180,248.34,7823.6044,105,3351,646.4098999999999
14,1.35,2919920.0,7251770.4,32137084811475.836,191,248.34,7823.6044,106,3351,646.4098999999999
15,1.4500000000000002,5006800.0,7251770.4,32137084811475.836,236,248.34,7823.6044,87,3351,646.4098999999999
16,1.55,4966240.0,7251770.4,32137084811475.836,186,248.34,7823.6044,100,3351,646.4098999999999
17,1.6500000000000001,5969120.0,7251770.4,32137084811475.836,244,248.34,7823.6044,105,3351,646.4098999999999
18,1.7500000000000002,6985920.0,7251770.4,32137084811475.836,217,248.34,7823.6044,112,3351,646.4098999999999
19,1.85,9912480.0,7251770.4,32137084811475.836,275,248.34,7823.6044,112,3351,646.4098999999999
