time,inter_arrival,pkt_size,ttl
0.0,0.0,66,64
2.1e-05,2.1e-05,185,64
0.000107,8.6e-05,66,64
0.000165,5.8e-05,67,64
0.000243,7.8e-05,74,64
0.001651,0.001408,74,64
0.001672,2.1000000000000185e-05,66,64
0.001687,1.4999999999999823e-05,103,64
0.002822,0.001135,66,64
0.043749,0.040927000000000005,66,64
0.043795,4.599999999999743e-05,68,64
0.043801,5.999999999999062e-06,66,64
0.043826,2.4999999999997247e-05,7306,64
0.043861,3.500000000000031e-05,7306,64
0.044196,0.00033500000000000196,66,64
0.0442,4.000000000004e-06,66,64
0.044205,4.9999999999980616e-06,66,64
0.044211,5.999999999999062e-06,8754,64
0.044222,1.0999999999997123e-05,66,64
0.044225,3.0000000000030003e-06,13098,64
0.044232,7.000000000000062e-06,7306,64
0.044234,2.000000000002e-06,66,64
0.044241,7.000000000000062e-06,14546,64
0.044247,5.999999999999062e-06,2962,64
0.044262,1.5000000000001124e-05,66,64
0.044263,9.999999999940612e-07,66,64
0.044267,4.000000000004e-06,66,64
0.04427,2.9999999999960614e-06,66,64
0.044275,5.0000000000050004e-06,12314,64
0.044283,8.000000000001062e-06,66,64
0.044285,1.9999999999950613e-06,5858,64
0.04429,5.0000000000050004e-06,850,64
0.044293,2.9999999999960614e-06,5858,64
0.044299,5.999999999999062e-06,66,64
0.044309,1.0000000000003062e-05,66,64
0.044316,7.000000000000062e-06,66,64
0.044324,8.000000000001062e-06,66,64
0.044331,7.000000000000062e-06,15994,64
0.044345,1.4000000000000123e-05,66,64
0.044355,9.999999999996123e-06,66,64
0.044363,8.000000000001062e-06,66,64
0.134918,0.09055500000000001,36266,64
0.135,8.199999999999874e-05,66,64
0.135044,4.399999999998849e-05,36266,64
0.135084,4.000000000001225e-05,66,64
0.135119,3.499999999997949e-05,1906,64
0.135151,3.200000000000425e-05,66,64
0.135187,3.600000000000825e-05,36266,64
0.135223,3.600000000000825e-05,66,64
0.135236,1.2999999999985246e-05,20698,64
0.135273,3.700000000000925e-05,66,64
0.250904,0.11563100000000001,65226,64
0.250965,6.099999999997774e-05,66,64
0.25099,2.4999999999997247e-05,65226,64
0.251028,3.799999999998249e-05,66,64
0.251038,1.0000000000010001e-05,818,64
0.251052,1.4000000000014001e-05,66,64
0.367903,0.11685099999999998,65226,64
0.367954,5.100000000002325e-05,66,64
0.367976,2.2000000000022002e-05,65226,64
0.368001,2.4999999999997247e-05,818,64
0.368042,4.099999999995774e-05,66,64
0.368077,3.500000000000725e-05,66,64
0.483901,0.11582400000000004,65226,64
0.483953,5.1999999999996493e-05,66,64
0.483975,2.199999999996649e-05,65226,64
0.483998,2.2999999999995246e-05,818,64
0.484024,2.6000000000026002e-05,66,64
0.484053,2.9000000000001247e-05,66,64
0.600899,0.11684599999999995,65226,64
0.600956,5.700000000008476e-05,66,64
0.600979,2.2999999999995246e-05,65226,64
0.601001,2.199999999996649e-05,818,64
0.60104,3.900000000001125e-05,66,64
0.601075,3.500000000000725e-05,66,64
0.71691,0.11583500000000002,65226,64
0.716965,5.499999999991623e-05,66,64
0.716989,2.4000000000024002e-05,65226,64
0.71702,3.100000000000325e-05,818,64
0.71705,2.999999999997449e-05,66,64
0.717085,3.500000000000725e-05,66,64
0.833899,0.11681399999999997,65226,64
0.833949,5.0000000000105516e-05,66,64
0.83397,2.0999999999937735e-05,65226,64
0.833993,2.2999999999995246e-05,66,64
0.834,6.999999999979245e-06,818,64
0.834038,3.799999999998249e-05,66,64
0.949906,0.11586800000000008,65226,64
0.949961,5.500000000002725e-05,66,64
0.949987,2.599999999997049e-05,65226,64
0.950016,2.8999999999945736e-05,66,64
0.950026,1.0000000000065512e-05,818,64
0.950042,1.6000000000016e-05,66,64
1.06692,0.11687800000000004,65226,64
1.067008,8.799999999986596e-05,65226,64
1.067024,1.6000000000016e-05,66,64
1.067082,5.8000000000113516e-05,818,64
1.067083,9.999999999177334e-07,66,64
1.067117,3.4000000000089514e-05,66,64
1.182902,0.1157849999999998,65226,64
1.182976,7.400000000012952e-05,65226,64
1.183003,2.6999999999999247e-05,66,64
1.183006,2.9999999999752447e-06,818,64
1.183033,2.6999999999999247e-05,66,64
1.2999260000000001,0.11689300000000014,65226,64
1.300058,0.00013199999999979894,65226,64
1.300078,2.0000000000131024e-05,66,64
1.300112,3.399999999986747e-05,818,64
1.3001260000000001,1.4000000000180535e-05,66,64
