label,time_scale,log10_idc
lan-gateway-10s,0.1,1.5309985439687015
lan-gateway-10s,0.5,2.115196520290987
lan-gateway-10s,1.0,2.559785327132565
lan-gateway-10s,2.0,3.002080092829665
lan-gateway-10s,5.0,3.624582376781025
lan-gateway-10s,10.0,4.094016681120422
lan-gateway-10s,20.0,4.094016681120422
lan-gateway-10s,50.0,4.094016681120422
lan-gateway-10s,100.0,4.094016681120422
lan-gateway-10s,200.0,4.094016681120422
iperf,0.1,0.7928401125803547
iperf,0.5,1.01732354611339
iperf,1.0,1.1802078252505137
iperf,2.0,1.297958514282812
iperf,5.0,1.579715657863711
iperf,10.0,2.0692488162664686
iperf,20.0,2.476288987988105
iperf,50.0,2.8543060418010806
iperf,100.0,2.8543060418010806
iperf,200.0,2.8543060418010806
