label,value,cdf
lan-gateway-10s,92,0.0
lan-gateway-10s,95,0.01
lan-gateway-10s,119,0.02
lan-gateway-10s,123,0.03
lan-gateway-10s,129,0.04
lan-gateway-10s,130,0.05
lan-gateway-10s,141,0.06
lan-gateway-10s,151,0.07
lan-gateway-10s,151,0.08
lan-gateway-10s,152,0.09
lan-gateway-10s,155,0.1
lan-gateway-10s,156,0.11
lan-gateway-10s,156,0.12
lan-gateway-10s,157,0.13
lan-gateway-10s,158,0.14
lan-gateway-10s,158,0.15
lan-gateway-10s,163,0.16
lan-gateway-10s,163,0.17
lan-gateway-10s,168,0.18
lan-gateway-10s,170,0.19
lan-gateway-10s,170,0.2
lan-gateway-10s,173,0.21
lan-gateway-10s,175,0.22
lan-gateway-10s,176,0.23
lan-gateway-10s,177,0.24
lan-gateway-10s,178,0.25
lan-gateway-10s,179,0.26
lan-gateway-10s,180,0.27
lan-gateway-10s,181,0.28
lan-gateway-10s,185,0.29
lan-gateway-10s,186,0.3
lan-gateway-10s,186,0.31
lan-gateway-10s,191,0.32
lan-gateway-10s,193,0.33
lan-gateway-10s,197,0.34
lan-gateway-10s,197,0.35
lan-gateway-10s,200,0.36
lan-gateway-10s,201,0.37
lan-gateway-10s,203,0.38
lan-gateway-10s,217,0.39
lan-gateway-10s,218,0.4
lan-gateway-10s,221,0.41
lan-gateway-10s,224,0.42
lan-gateway-10s,227,0.43
lan-gateway-10s,230,0.44
lan-gateway-10s,235,0.45
lan-gateway-10s,236,0.46
lan-gateway-10s,236,0.47
lan-gateway-10s,237,0.48
lan-gateway-10s,237,0.49
lan-gateway-10s,239,0.5
lan-gateway-10s,241,0.51
lan-gateway-10s,241,0.52
lan-gateway-10s,243,0.53
lan-gateway-10s,244,0.54
lan-gateway-10s,249,0.55
lan-gateway-10s,253,0.56
lan-gateway-10s,257,0.57
lan-gateway-10s,263,0.58
lan-gateway-10s,265,0.59
lan-gateway-10s,268,0.6
lan-gateway-10s,274,0.61
lan-gateway-10s,274,0.62
lan-gateway-10s,275,0.63
lan-gateway-10s,278,0.64
lan-gateway-10s,279,0.65
lan-gateway-10s,280,0.66
lan-gateway-10s,280,0.67
lan-gateway-10s,280,0.68
lan-gateway-10s,282,0.69
lan-gateway-10s,288,0.7
lan-gateway-10s,288,0.71
lan-gateway-10s,288,0.72
lan-gateway-10s,288,0.73
lan-gateway-10s,289,0.74
lan-gateway-10s,294,0.75
lan-gateway-10s,297,0.76
lan-gateway-10s,301,0.77
lan-gateway-10s,304,0.78
lan-gateway-10s,307,0.79
lan-gateway-10s,310,0.8
lan-gateway-10s,310,0.81
lan-gateway-10s,316,0.82
lan-gateway-10s,318,0.83
lan-gateway-10s,325,0.84
lan-gateway-10s,329,0.85
lan-gateway-10s,335,0.86
lan-gateway-10s,342,0.87
lan-gateway-10s,345,0.88
lan-gateway-10s,372,0.89
lan-gateway-10s,394,0.9
lan-gateway-10s,397,0.91
lan-gateway-10s,411,0.92
lan-gateway-10s,418,0.93
lan-gateway-10s,430,0.94
lan-gateway-10s,447,0.95
lan-gateway-10s,458,0.96
lan-gateway-10s,468,0.97
lan-gateway-10s,482,0.98
lan-gateway-10s,485,0.99
iperf,0,0.0
iperf,0,0.01
iperf,0,0.02
iperf,0,0.03
iperf,0,0.04
iperf,0,0.05
iperf,0,0.06
iperf,0,0.07
iperf,0,0.08
iperf,0,0.09
iperf,0,0.1
iperf,0,0.11
iperf,0,0.12
iperf,0,0.13
iperf,0,0.14
iperf,0,0.15
iperf,1,0.16
iperf,1,0.17
iperf,1,0.18
iperf,1,0.19
iperf,4,0.2
iperf,4,0.21
iperf,4,0.22
iperf,4,0.23
iperf,4,0.24
iperf,4,0.25
iperf,4,0.26
iperf,4,0.27
iperf,4,0.28
iperf,4,0.29
iperf,4,0.3
iperf,4,0.31
iperf,4,0.32
iperf,4,0.33
iperf,4,0.34
iperf,4,0.35
iperf,4,0.36
iperf,4,0.37
iperf,4,0.38
iperf,4,0.39
iperf,5,0.4
iperf,5,0.41
iperf,5,0.42
iperf,5,0.43
iperf,5,0.44
iperf,5,0.45
iperf,5,0.46
iperf,5,0.47
iperf,5,0.48
iperf,5,0.49
iperf,5,0.5
iperf,5,0.51
iperf,5,0.52
iperf,5,0.53
iperf,5,0.54
iperf,5,0.55
iperf,5,0.56
iperf,5,0.57
iperf,5,0.58
iperf,5,0.59
iperf,5,0.6
iperf,5,0.61
iperf,5,0.62
iperf,5,0.63
iperf,5,0.64
iperf,5,0.65
iperf,5,0.66
iperf,5,0.67
iperf,5,0.68
iperf,5,0.69
iperf,5,0.7
iperf,5,0.71
iperf,5,0.72
iperf,5,0.73
iperf,5,0.74
iperf,5,0.75
iperf,5,0.76
iperf,5,0.77
iperf,6,0.78
iperf,6,0.79
iperf,6,0.8
iperf,6,0.81
iperf,6,0.82
iperf,6,0.83
iperf,6,0.84
iperf,6,0.85
iperf,6,0.86
iperf,6,0.87
iperf,6,0.88
iperf,6,0.89
iperf,6,0.9
iperf,6,0.91
iperf,6,0.92
iperf,6,0.93
iperf,6,0.94
iperf,7,0.95
iperf,9,0.96
iperf,10,0.97
iperf,10,0.98
iperf,41,0.99
