icmp_seq,ttl,rtt_ms
1,64,0.567
2,64,0.098
3,64,0.047
4,64,0.084
5,64,0.086
6,64,0.057
7,64,0.074
8,64,0.08
9,64,0.084
10,64,0.09
11,64,0.153
12,64,0.079
13,64,0.046
14,64,0.058
15,64,0.055
16,64,0.056
17,64,0.073
18,64,0.065
19,64,0.076
20,64,0.077
21,64,0.076
22,64,0.054
23,64,0.052
24,64,0.065
25,64,0.081
26,64,0.069
27,64,0.07
28,64,0.08
29,64,0.088
30,64,0.088
31,64,0.085
32,64,0.084
33,64,0.068
34,64,0.079
35,64,0.088
36,64,0.077
37,64,0.077
38,64,0.077
39,64,0.076
40,64,0.082
41,64,0.057
42,64,0.07
43,64,0.064
44,64,0.088
45,64,0.085
46,64,0.079
47,64,0.084
48,64,0.079
49,64,0.077
50,64,0.065
51,64,0.077
52,64,0.064
53,64,0.077
54,64,0.081
55,64,0.081
56,64,0.077
57,64,0.075
58,64,0.079
59,64,0.064
60,64,0.062
61,64,0.068
62,64,0.053
63,64,0.066
64,64,0.067
65,64,0.061
66,64,0.057
67,64,0.067
68,64,0.07
69,64,0.057
70,64,0.06
71,64,0.073
72,64,0.062
73,64,0.064
74,64,0.075
75,64,0.086
76,64,0.084
77,64,0.061
78,64,0.06
79,64,0.081
80,64,0.046
81,64,0.06
82,64,0.098
83,64,0.082
84,64,0.079
85,64,0.077
86,64,0.083
87,64,0.074
88,64,0.09
89,64,0.061
90,64,0.079
91,64,0.073
92,64,0.076
93,64,0.078
94,64,0.078
95,64,0.081
96,64,0.08
97,64,0.082
98,64,0.152
99,64,0.077
100,64,0.096
101,64,0.08
102,64,0.066
103,64,0.072
104,64,0.059
105,64,0.098
106,64,0.054
