label,value,cdf
lan-gateway-10s,1164160.0,0.0
lan-gateway-10s,1489840.0,0.01
lan-gateway-10s,1569920.0,0.02
lan-gateway-10s,1998880.0,0.03
lan-gateway-10s,2164560.0,0.04
lan-gateway-10s,2170960.0,0.05
lan-gateway-10s,2265120.0,0.06
lan-gateway-10s,2361520.0,0.07
lan-gateway-10s,2429680.0,0.08
lan-gateway-10s,2475200.0,0.09
lan-gateway-10s,2496960.0,0.1
lan-gateway-10s,2506160.0,0.11
lan-gateway-10s,2524320.0,0.12
lan-gateway-10s,2559360.0,0.13
lan-gateway-10s,2573360.0,0.14
lan-gateway-10s,2590800.0,0.15
lan-gateway-10s,2603440.0,0.16
lan-gateway-10s,2609600.0,0.17
lan-gateway-10s,2673040.0,0.18
lan-gateway-10s,2769760.0,0.19
lan-gateway-10s,2776960.0,0.2
lan-gateway-10s,2780560.0,0.21
lan-gateway-10s,2901600.0,0.22
lan-gateway-10s,2919920.0,0.23
lan-gateway-10s,2963120.0,0.24
lan-gateway-10s,3087360.0,0.25
lan-gateway-10s,3095440.0,0.26
lan-gateway-10s,3109040.0,0.27
lan-gateway-10s,3153440.0,0.28
lan-gateway-10s,3216560.0,0.29
lan-gateway-10s,3326560.0,0.3
lan-gateway-10s,3510480.0,0.31
lan-gateway-10s,3943120.0,0.32
lan-gateway-10s,4283760.0,0.33
lan-gateway-10s,4419440.0,0.34
lan-gateway-10s,4500880.0,0.35
lan-gateway-10s,4630480.0,0.36
lan-gateway-10s,4711680.0,0.37
lan-gateway-10s,4855360.0,0.38
lan-gateway-10s,4880560.0,0.39
lan-gateway-10s,4881680.0,0.4
lan-gateway-10s,4889200.0,0.41
lan-gateway-10s,4936160.0,0.42
lan-gateway-10s,4966240.0,0.43
lan-gateway-10s,5006800.0,0.44
lan-gateway-10s,5024400.0,0.45
lan-gateway-10s,5187840.0,0.46
lan-gateway-10s,5278320.0,0.47
lan-gateway-10s,5377200.0,0.48
lan-gateway-10s,5499600.0,0.49
lan-gateway-10s,5765040.0,0.5
lan-gateway-10s,5807840.0,0.51
lan-gateway-10s,5870080.0,0.52
lan-gateway-10s,5875440.0,0.53
lan-gateway-10s,5892400.0,0.54
lan-gateway-10s,5924800.0,0.55
lan-gateway-10s,5969120.0,0.56
lan-gateway-10s,5991920.0,0.57
lan-gateway-10s,6279520.0,0.58
lan-gateway-10s,6327440.0,0.59
lan-gateway-10s,6333680.0,0.6
lan-gateway-10s,6429200.0,0.61
lan-gateway-10s,6953280.0,0.62
lan-gateway-10s,6983040.0,0.63
lan-gateway-10s,6985920.0,0.64
lan-gateway-10s,7191760.0,0.65
lan-gateway-10s,7392720.0,0.66
lan-gateway-10s,7527440.0,0.67
lan-gateway-10s,7709360.0,0.68
lan-gateway-10s,8555680.0,0.69
lan-gateway-10s,8791840.0,0.7
lan-gateway-10s,8833120.0,0.71
lan-gateway-10s,8933680.0,0.72
lan-gateway-10s,9220160.0,0.73
lan-gateway-10s,9348000.0,0.74
lan-gateway-10s,9391600.0,0.75
lan-gateway-10s,9912480.0,0.76
lan-gateway-10s,10214320.0,0.77
lan-gateway-10s,10350320.0,0.78
lan-gateway-10s,10471120.0,0.79
lan-gateway-10s,10904240.0,0.8
lan-gateway-10s,11300160.0,0.81
lan-gateway-10s,11595680.0,0.82
lan-gateway-10s,11619840.0,0.83
lan-gateway-10s,11885760.0,0.84
lan-gateway-10s,12031600.0,0.85
lan-gateway-10s,12756880.0,0.86
lan-gateway-10s,12955600.0,0.87
lan-gateway-10s,14364000.0,0.88
lan-gateway-10s,14818160.0,0.89
lan-gateway-10s,15388880.0,0.9
lan-gateway-10s,15871200.0,0.91
lan-gateway-10s,16106080.0,0.92
lan-gateway-10s,16149840.0,0.93
lan-gateway-10s,17911040.0,0.94
lan-gateway-10s,18843600.0,0.95
lan-gateway-10s,20883040.0,0.96
lan-gateway-10s,21360800.0,0.97
lan-gateway-10s,26852960.0,0.98
lan-gateway-10s,34234960.0,0.99
iperf,0.0,0.0
iperf,0.0,0.0030120481927710845
iperf,0.0,0.006024096385542169
iperf,0.0,0.009036144578313253
iperf,0.0,0.012048192771084338
iperf,0.0,0.015060240963855422
iperf,0.0,0.018072289156626505
iperf,0.0,0.02108433734939759
iperf,0.0,0.024096385542168676
iperf,0.0,0.02710843373493976
iperf,0.0,0.030120481927710843
iperf,0.0,0.03313253012048193
iperf,0.0,0.03614457831325301
iperf,0.0,0.0391566265060241
iperf,0.0,0.04216867469879518
iperf,0.0,0.045180722891566265
iperf,0.0,0.04819277108433735
iperf,0.0,0.05120481927710843
iperf,0.0,0.05421686746987952
iperf,0.0,0.0572289156626506
iperf,0.0,0.060240963855421686
iperf,0.0,0.06325301204819277
iperf,0.0,0.06626506024096386
iperf,0.0,0.06927710843373494
iperf,0.0,0.07228915662650602
iperf,0.0,0.07530120481927711
iperf,0.0,0.0783132530120482
iperf,0.0,0.08132530120481928
iperf,0.0,0.08433734939759036
iperf,0.0,0.08734939759036145
iperf,0.0,0.09036144578313253
iperf,0.0,0.09337349397590361
iperf,0.0,0.0963855421686747
iperf,0.0,0.09939759036144578
iperf,0.0,0.10240963855421686
iperf,0.0,0.10542168674698796
iperf,0.0,0.10843373493975904
iperf,0.0,0.11144578313253012
iperf,0.0,0.1144578313253012
iperf,0.0,0.11746987951807229
iperf,0.0,0.12048192771084337
iperf,0.0,0.12349397590361445
iperf,0.0,0.12650602409638553
iperf,0.0,0.12951807228915663
iperf,0.0,0.13253012048192772
iperf,0.0,0.1355421686746988
iperf,0.0,0.13855421686746988
iperf,0.0,0.14156626506024098
iperf,0.0,0.14457831325301204
iperf,0.0,0.14759036144578314
iperf,0.0,0.15060240963855423
iperf,0.0,0.1536144578313253
iperf,0.0,0.1566265060240964
iperf,0.0,0.15963855421686746
iperf,0.0,0.16265060240963855
iperf,0.0,0.16566265060240964
iperf,0.0,0.1686746987951807
iperf,0.0,0.1716867469879518
iperf,0.0,0.1746987951807229
iperf,0.0,0.17771084337349397
iperf,0.0,0.18072289156626506
iperf,0.0,0.18373493975903615
iperf,0.0,0.18674698795180722
iperf,0.0,0.1897590361445783
iperf,0.0,0.1927710843373494
iperf,0.0,0.19578313253012047
iperf,0.0,0.19879518072289157
iperf,0.0,0.20180722891566266
iperf,0.0,0.20481927710843373
iperf,0.0,0.20783132530120482
iperf,0.0,0.21084337349397592
iperf,0.0,0.21385542168674698
iperf,0.0,0.21686746987951808
iperf,0.0,0.21987951807228914
iperf,0.0,0.22289156626506024
iperf,0.0,0.22590361445783133
iperf,0.0,0.2289156626506024
iperf,0.0,0.2319277108433735
iperf,0.0,0.23493975903614459
iperf,0.0,0.23795180722891565
iperf,0.0,0.24096385542168675
iperf,0.0,0.24397590361445784
iperf,0.0,0.2469879518072289
iperf,0.0,0.25
iperf,0.0,0.25301204819277107
iperf,0.0,0.2560240963855422
iperf,5600.0,0.25903614457831325
iperf,5600.0,0.2620481927710843
iperf,5600.0,0.26506024096385544
iperf,16240.0,0.2680722891566265
iperf,16240.0,0.2710843373493976
iperf,52160.0,0.2740963855421687
iperf,69440.0,0.27710843373493976
iperf,76480.0,0.28012048192771083
iperf,113680.0,0.28313253012048195
iperf,134880.0,0.286144578313253
iperf,1293200.0,0.2891566265060241
iperf,5218080.0,0.2921686746987952
iperf,5218080.0,0.29518072289156627
iperf,5299360.0,0.29819277108433734
iperf,5299360.0,0.30120481927710846
iperf,8339280.0,0.3042168674698795
iperf,9281200.0,0.3072289156626506
iperf,10506880.0,0.3102409638554217
iperf,10506880.0,0.3132530120481928
iperf,10506880.0,0.31626506024096385
iperf,10506880.0,0.3192771084337349
iperf,10506880.0,0.32228915662650603
iperf,10506880.0,0.3253012048192771
iperf,10506880.0,0.32831325301204817
iperf,10506880.0,0.3313253012048193
iperf,10506880.0,0.33433734939759036
iperf,10506880.0,0.3373493975903614
iperf,10506880.0,0.34036144578313254
iperf,10506880.0,0.3433734939759036
iperf,10506880.0,0.3463855421686747
iperf,10506880.0,0.3493975903614458
iperf,10506880.0,0.35240963855421686
iperf,10506880.0,0.35542168674698793
iperf,10506880.0,0.35843373493975905
iperf,10506880.0,0.3614457831325301
iperf,10506880.0,0.3644578313253012
iperf,10506880.0,0.3674698795180723
iperf,10506880.0,0.3704819277108434
iperf,10506880.0,0.37349397590361444
iperf,10506880.0,0.37650602409638556
iperf,10506880.0,0.3795180722891566
iperf,10506880.0,0.3825301204819277
iperf,10506880.0,0.3855421686746988
iperf,10506880.0,0.3885542168674699
iperf,10506880.0,0.39156626506024095
iperf,10506880.0,0.39457831325301207
iperf,10506880.0,0.39759036144578314
iperf,10506880.0,0.4006024096385542
iperf,10506880.0,0.4036144578313253
iperf,10506880.0,0.4066265060240964
iperf,10506880.0,0.40963855421686746
iperf,10506880.0,0.4126506024096386
iperf,10506880.0,0.41566265060240964
iperf,10506880.0,0.4186746987951807
iperf,10506880.0,0.42168674698795183
iperf,10506880.0,0.4246987951807229
iperf,10506880.0,0.42771084337349397
iperf,10506880.0,0.4307228915662651
iperf,10506880.0,0.43373493975903615
iperf,10506880.0,0.4367469879518072
iperf,10506880.0,0.4397590361445783
iperf,10506880.0,0.4427710843373494
iperf,10506880.0,0.4457831325301205
iperf,10506880.0,0.44879518072289154
iperf,10506880.0,0.45180722891566266
iperf,10506880.0,0.45481927710843373
iperf,10506880.0,0.4578313253012048
iperf,10512160.0,0.4608433734939759
iperf,10512160.0,0.463855421686747
iperf,10512160.0,0.46686746987951805
iperf,10512160.0,0.46987951807228917
iperf,10512160.0,0.47289156626506024
iperf,10512160.0,0.4759036144578313
iperf,10512160.0,0.4789156626506024
iperf,10512160.0,0.4819277108433735
iperf,10512160.0,0.48493975903614456
iperf,10512160.0,0.4879518072289157
iperf,10512160.0,0.49096385542168675
iperf,10512160.0,0.4939759036144578
iperf,10512160.0,0.49698795180722893
iperf,10512160.0,0.5
iperf,10512160.0,0.5030120481927711
iperf,10512160.0,0.5060240963855421
iperf,10512160.0,0.5090361445783133
iperf,10512160.0,0.5120481927710844
iperf,10512160.0,0.5150602409638554
iperf,10512160.0,0.5180722891566265
iperf,10512160.0,0.5210843373493976
iperf,10512160.0,0.5240963855421686
iperf,10512160.0,0.5271084337349398
iperf,10512160.0,0.5301204819277109
iperf,10512160.0,0.5331325301204819
iperf,10512160.0,0.536144578313253
iperf,10512160.0,0.5391566265060241
iperf,10512160.0,0.5421686746987951
iperf,10512160.0,0.5451807228915663
iperf,10512160.0,0.5481927710843374
iperf,10512160.0,0.5512048192771084
iperf,10512160.0,0.5542168674698795
iperf,10512160.0,0.5572289156626506
iperf,10512160.0,0.5602409638554217
iperf,10512160.0,0.5632530120481928
iperf,10512160.0,0.5662650602409639
iperf,10512160.0,0.5692771084337349
iperf,10512160.0,0.572289156626506
iperf,10512160.0,0.5753012048192772
iperf,10512160.0,0.5783132530120482
iperf,10512160.0,0.5813253012048193
iperf,10512160.0,0.5843373493975904
iperf,10512160.0,0.5873493975903614
iperf,10512160.0,0.5903614457831325
iperf,10512160.0,0.5933734939759037
iperf,10512160.0,0.5963855421686747
iperf,10512160.0,0.5993975903614458
iperf,10512160.0,0.6024096385542169
iperf,10512160.0,0.6054216867469879
iperf,10512160.0,0.608433734939759
iperf,10512160.0,0.6114457831325302
iperf,10512160.0,0.6144578313253012
iperf,10512160.0,0.6174698795180723
iperf,10512160.0,0.6204819277108434
iperf,10512160.0,0.6234939759036144
iperf,10512160.0,0.6265060240963856
iperf,10512160.0,0.6295180722891566
iperf,10512160.0,0.6325301204819277
iperf,10512160.0,0.6355421686746988
iperf,10512160.0,0.6385542168674698
iperf,10512160.0,0.641566265060241
iperf,10512160.0,0.6445783132530121
iperf,10512160.0,0.6475903614457831
iperf,10512160.0,0.6506024096385542
iperf,10512160.0,0.6536144578313253
iperf,10512160.0,0.6566265060240963
