icmp_seq,ttl,rtt_ms
1,64,0.562
2,64,0.047
3,64,0.061
4,64,0.066
5,64,0.075
6,64,0.096
7,64,0.058
8,64,0.064
9,64,0.066
10,64,0.056
11,64,0.06
12,64,0.057
13,64,0.073
14,64,0.063
15,64,0.083
16,64,0.078
17,64,0.077
18,64,0.08
19,64,0.081
20,64,0.078
21,64,0.078
22,64,0.065
23,64,0.064
24,64,0.084
25,64,0.087
26,64,0.095
27,64,0.079
28,64,0.086
29,64,0.086
30,64,0.082
31,64,0.075
32,64,0.077
33,64,0.083
34,64,0.085
35,64,0.091
36,64,0.086
37,64,0.077
38,64,0.077
39,64,0.078
40,64,0.065
41,64,0.067
42,64,0.08
43,64,0.087
44,64,0.089
45,64,0.075
46,64,0.109
47,64,0.081
48,64,0.071
49,64,0.079
50,64,0.063
51,64,0.074
52,64,0.087
53,64,0.076
54,64,0.077
55,64,0.086
56,64,0.078
57,64,0.072
58,64,0.076
59,64,0.085
60,64,0.062
61,64,0.072
62,64,0.078
63,64,0.082
64,64,0.077
65,64,0.079
66,64,0.082
67,64,0.074
68,64,0.079
69,64,0.065
70,64,0.063
71,64,0.077
72,64,0.087
73,64,0.078
74,64,0.082
75,64,0.081
76,64,0.084
77,64,0.084
78,64,0.076
79,64,0.062
80,64,0.062
81,64,0.079
82,64,0.084
83,64,0.082
84,64,0.083
85,64,0.092
86,64,0.085
87,64,0.076
88,64,0.07
89,64,0.066
90,64,0.082
91,64,0.079
92,64,0.08
93,64,0.089
94,64,0.074
95,64,0.079
96,64,0.091
97,64,0.08
98,64,0.079
99,64,0.085
100,64,0.091
101,64,0.078
102,64,0.081
103,64,0.081
104,64,0.081
105,64,0.079
106,64,0.093
